card_code,rarity,is_parallel_name,name_ja,sell_price_jpy,buy_price_jpy,raw_sell_price_text,raw_buy_price_text,sell_url,buy_url,is_suspicious,error_message
hBP01-105,U,0,ペンライト,80,,80 円,,https://yuyu-tei.jp/sell/hocg/card/hbp01/10125,,0,
hBP01-108,P,1,じゃあ敵だね(パラレル/WGP2025 in 東京),4980,3500,"4,980 円","3,500 円",https://yuyu-tei.jp/sell/hocg/card/promo-hbp10/10076,https://yuyu-tei.jp/buy/hocg/card/promo-hbp10/10076,0,
hBP01-108,U,0,じゃあ敵だね,220,50,220 円,50 円,https://yuyu-tei.jp/sell/hocg/card/hbp01/10128,https://yuyu-tei.jp/buy/hocg/card/hbp01/10128,0,
hSD01-016,C,0,春先のどか,280,100,280 円,100 円,https://yuyu-tei.jp/sell/hocg/card/hsd01/10016,https://yuyu-tei.jp/buy/hocg/card/hsd01/10016,0,
hSD01-016,C,1,春先のどか(パラレル/SD08・SD09),320,100,320 円,100 円,https://yuyu-tei.jp/sell/hocg/card/hsd08/10009,https://yuyu-tei.jp/buy/hocg/card/hsd08/10009,0,
hSD01-016,P,1,春先のどか(パラレル/トリオチャレンジ2025 Spring),79800,64000,"79,800 円","64,000 円",https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10019,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10019,0,
hSD01-017,C,0,マネちゃん(hBP04),120,10,120 円,10 円,https://yuyu-tei.jp/sell/hocg/card/hbp04/10218,https://yuyu-tei.jp/buy/hocg/card/hbp04/10218,0,
hSD01-017,P,1,マネちゃん(パラレル/ベーシックPRパック vol.3),1280,500,"1,280 円",500 円,https://yuyu-tei.jp/sell/hocg/card/promo-hsd10/10008,https://yuyu-tei.jp/buy/hocg/card/promo-hsd10/10008,0,
hSD01-017,S,1,マネちゃん(パラレル/hBP04),1980,1400,"1,980 円","1,400 円",https://yuyu-tei.jp/sell/hocg/card/hbp04/10219,https://yuyu-tei.jp/buy/hocg/card/hbp04/10219,0,
hSD01-019,C,0,スゴイパソコン,50,,50 円,,https://yuyu-tei.jp/sell/hocg/card/hsd01/10019,,0,
hSD01-019,SR,1,スゴイパソコン(パラレル/博衣こより),680,250,680 円,250 円,https://yuyu-tei.jp/sell/hocg/card/ohc01/10005,https://yuyu-tei.jp/buy/hocg/card/ohc01/10005,0,
